date,ticker,horizon_bucket,llm_score,document_count,section_count,avg_confidence,avg_risk_flag
2026-01-28,META,long_term,0.0,1,1,0.35,0.1
2026-01-28,META,short_term,0.0,1,1,0.35,0.1
2026-01-28,META,swing,0.0,1,1,0.35,0.1
2026-01-28,MSFT,long_term,-0.0899962269846061,2,5,0.654,0.32
2026-01-28,MSFT,short_term,-0.11176765771204344,2,5,0.654,0.32
2026-01-28,MSFT,swing,-0.08502112888620586,2,5,0.654,0.32
2026-01-29,META,long_term,-0.30000000000000004,1,1,0.95,1.0
2026-01-29,META,short_term,-0.44999999999999996,1,1,0.95,1.0
2026-01-29,META,swing,-0.37499999999999994,1,1,0.95,1.0
2026-01-30,AAPL,long_term,-0.21597175379426647,1,4,0.76,0.325
2026-01-30,AAPL,short_term,-0.2425906408094435,1,4,0.76,0.325
2026-01-30,AAPL,swing,-0.25027613827993256,1,4,0.76,0.325
2026-02-13,JPM,long_term,-0.03322510822510824,1,3,0.8300000000000001,0.7333333333333334
2026-02-13,JPM,short_term,-0.13271645021645015,1,3,0.8300000000000001,0.7333333333333334
2026-02-13,JPM,swing,-0.05015151515151511,1,3,0.8300000000000001,0.7333333333333334
2026-02-18,XOM,long_term,0.09642924086223052,1,4,0.8300000000000001,0.4
2026-02-18,XOM,short_term,0.14976726023117776,1,4,0.8300000000000001,0.4
2026-02-18,XOM,swing,0.12442596063730084,1,4,0.8300000000000001,0.4
2026-02-23,JPM,long_term,0.2125,1,1,0.59,0.30000000000000004
2026-02-23,JPM,short_term,0.2125,1,1,0.59,0.30000000000000004
2026-02-23,JPM,swing,0.2125,1,1,0.59,0.30000000000000004
2026-02-25,NVDA,long_term,-0.173241341991342,1,3,0.8300000000000001,0.5333333333333333
2026-02-25,NVDA,short_term,-0.18470508658008658,1,3,0.8300000000000001,0.5333333333333333
2026-02-25,NVDA,swing,-0.21200216450216447,1,3,0.8300000000000001,0.5333333333333333
2026-03-04,AVGO,long_term,0.0,1,2,0.35,0.1
2026-03-04,AVGO,short_term,0.0,1,2,0.35,0.1
2026-03-04,AVGO,swing,0.0,1,2,0.35,0.1
2026-03-05,COST,long_term,0.0,1,1,0.35,0.1
2026-03-05,COST,short_term,0.0,1,1,0.35,0.1
2026-03-05,COST,swing,0.0,1,1,0.35,0.1
2026-03-11,AVGO,long_term,0.1373935805012015,1,4,0.79,0.45
2026-03-11,AVGO,short_term,0.11993477514589773,1,4,0.79,0.45
2026-03-11,AVGO,swing,0.13157397871610027,1,4,0.79,0.45
2026-03-11,COST,long_term,0.1749718309859155,1,4,0.6,0.2
2026-03-11,COST,short_term,0.1619909456740443,1,4,0.6,0.2
2026-03-11,COST,swing,0.2165070422535211,1,4,0.6,0.2
