date,ticker,horizon_bucket,llm_score,document_count,section_count,avg_confidence,avg_risk_flag
2026-01-21,COST,swing,0.0,1,1,0.35,0.1
2026-01-28,META,swing,0.0,1,1,0.35,0.1
2026-01-28,MSFT,swing,-0.0850211288862058,2,5,0.654,0.32
2026-01-29,AAPL,swing,0.0,1,1,0.35,0.1
2026-01-29,META,swing,-0.3749999999999999,1,1,0.95,1.0
2026-01-30,AAPL,swing,-0.2502761382799325,1,4,0.76,0.325
2026-01-30,XOM,swing,0.0,1,1,0.35,0.1
2026-02-05,GOOGL,swing,-0.216274154589372,1,3,0.7766666666666667,0.5333333333333333
2026-02-06,AMZN,swing,-0.3120098039215686,1,3,0.8833333333333333,0.6333333333333333
2026-02-13,JPM,swing,-0.0501515151515151,1,3,0.8300000000000001,0.7333333333333334
2026-02-18,XOM,swing,0.1244259606373008,1,4,0.8300000000000001,0.4
2026-02-23,JPM,swing,0.2125,1,1,0.59,0.3
2026-02-25,NVDA,swing,-0.2120021645021644,1,3,0.8300000000000001,0.5333333333333333
2026-03-04,AVGO,swing,0.0,1,2,0.35,0.1
2026-03-05,COST,swing,0.0,1,1,0.35,0.1
2026-03-11,AVGO,swing,0.1315739787161002,1,4,0.79,0.45
2026-03-11,COST,swing,0.2165070422535211,1,4,0.6,0.2
