date,ticker,horizon_bucket,llm_score,document_count,section_count,avg_confidence,avg_risk_flag
2026-01-21,COST,long_term,0.0,1,1,0.35,0.1
2026-01-21,COST,short_term,0.0,1,1,0.35,0.1
2026-01-21,COST,swing,0.0,1,1,0.35,0.1
2026-01-28,META,long_term,0.0,1,1,0.35,0.1
2026-01-28,META,short_term,0.0,1,1,0.35,0.1
2026-01-28,META,swing,0.0,1,1,0.35,0.1
2026-01-28,MSFT,long_term,-0.0899962269846061,2,5,0.654,0.32
2026-01-28,MSFT,short_term,-0.11176765771204344,2,5,0.654,0.32
2026-01-28,MSFT,swing,-0.08502112888620586,2,5,0.654,0.32
2026-01-29,AAPL,long_term,0.0,1,1,0.35,0.1
2026-01-29,AAPL,short_term,0.0,1,1,0.35,0.1
2026-01-29,AAPL,swing,0.0,1,1,0.35,0.1
2026-01-29,META,long_term,-0.30000000000000004,1,1,0.95,1.0
2026-01-29,META,short_term,-0.44999999999999996,1,1,0.95,1.0
2026-01-29,META,swing,-0.37499999999999994,1,1,0.95,1.0
2026-01-30,AAPL,long_term,-0.1654783298097252,1,4,0.6599999999999999,0.275
2026-01-30,AAPL,short_term,-0.2093789640591966,1,4,0.6599999999999999,0.275
2026-01-30,AAPL,swing,-0.1874286469344609,1,4,0.6599999999999999,0.275
2026-01-30,XOM,long_term,0.0,1,1,0.35,0.1
2026-01-30,XOM,short_term,0.0,1,1,0.35,0.1
2026-01-30,XOM,swing,0.0,1,1,0.35,0.1
2026-02-05,GOOGL,long_term,-0.23118961352657005,1,3,0.7766666666666667,0.5333333333333333
2026-02-05,GOOGL,short_term,-0.2013586956521739,1,3,0.7766666666666667,0.5333333333333333
2026-02-05,GOOGL,swing,-0.216274154589372,1,3,0.7766666666666667,0.5333333333333333
2026-02-06,AMZN,long_term,-0.2887254901960784,1,3,0.8833333333333333,0.6333333333333333
2026-02-06,AMZN,short_term,-0.2840686274509804,1,3,0.8833333333333333,0.6333333333333333
2026-02-06,AMZN,swing,-0.31200980392156863,1,3,0.8833333333333333,0.6333333333333333
2026-02-13,JPM,long_term,-0.03322510822510824,1,3,0.8300000000000001,0.7333333333333334
2026-02-13,JPM,short_term,-0.13271645021645015,1,3,0.8300000000000001,0.7333333333333334
2026-02-13,JPM,swing,-0.05015151515151511,1,3,0.8300000000000001,0.7333333333333334
2026-02-18,XOM,long_term,0.224776299879081,1,4,0.71,0.325
2026-02-18,XOM,short_term,0.2835570334542523,1,4,0.71,0.325
2026-02-18,XOM,swing,0.2809703748488513,1,4,0.71,0.325
2026-02-23,JPM,long_term,0.2125,1,1,0.59,0.30000000000000004
2026-02-23,JPM,short_term,0.2125,1,1,0.59,0.30000000000000004
2026-02-23,JPM,swing,0.2125,1,1,0.59,0.30000000000000004
2026-02-25,NVDA,long_term,-0.22721289187460011,2,4,0.75,0.42500000000000004
2026-02-25,NVDA,short_term,-0.2852811100447856,2,4,0.75,0.42500000000000004
2026-02-25,NVDA,swing,-0.28065419065898906,2,4,0.75,0.42500000000000004
2026-03-04,AVGO,long_term,0.0,1,2,0.35,0.1
2026-03-04,AVGO,short_term,0.0,1,2,0.35,0.1
2026-03-04,AVGO,swing,0.0,1,2,0.35,0.1
2026-03-05,COST,long_term,0.0,1,1,0.35,0.1
2026-03-05,COST,short_term,0.0,1,1,0.35,0.1
2026-03-05,COST,swing,0.0,1,1,0.35,0.1
2026-03-11,AVGO,long_term,0.08166935195130685,1,4,0.77,0.45
2026-03-11,AVGO,short_term,0.06962316505549591,1,4,0.77,0.45
2026-03-11,AVGO,swing,0.06327425707124956,1,4,0.77,0.45
2026-03-11,COST,long_term,0.052055294117647054,1,4,0.5399999999999999,0.2
2026-03-11,COST,short_term,0.052131176470588236,1,4,0.5399999999999999,0.2
2026-03-11,COST,swing,0.07011529411764705,1,4,0.5399999999999999,0.2
