date,ticker,horizon_bucket,llm_score,document_count,section_count,avg_confidence,avg_risk_flag
2026-01-28,MSFT,long_term,-0.06378571428571429,1,4,0.71,0.375
2026-01-28,MSFT,short_term,-0.0663642857142857,1,4,0.71,0.375
2026-01-28,MSFT,swing,-0.04505714285714285,1,4,0.71,0.375
2026-01-29,META,long_term,-0.30000000000000004,1,1,0.95,1.0
2026-01-29,META,short_term,-0.44999999999999996,1,1,0.95,1.0
2026-01-29,META,swing,-0.37499999999999994,1,1,0.95,1.0
2026-02-23,JPM,long_term,0.2125,1,1,0.59,0.30000000000000004
2026-02-23,JPM,short_term,0.2125,1,1,0.59,0.30000000000000004
2026-02-23,JPM,swing,0.2125,1,1,0.59,0.30000000000000004
2026-03-11,AVGO,long_term,0.1373935805012015,1,4,0.79,0.45
2026-03-11,AVGO,short_term,0.11993477514589773,1,4,0.79,0.45
2026-03-11,AVGO,swing,0.13157397871610027,1,4,0.79,0.45
2026-03-11,COST,long_term,0.1749718309859155,1,4,0.6,0.2
2026-03-11,COST,short_term,0.1619909456740443,1,4,0.6,0.2
2026-03-11,COST,swing,0.2165070422535211,1,4,0.6,0.2
